user id,hue 30,hue 45,hue 60,hue 75,hue 135,hue 180,hue 195,hue 240,hue 270,hue 285,hue 315,hue 345
p1,4,4,4,4,5,5,5,2,3,3,2,2
p2,3,4,3,4,5,5,4,1,2,2,2,2
p3,3,3,3,4,5,5,4,1,2,2,2,2
p4,4,4,4,5,5,5,4,2,3,3,2,2
p5,2,2,3,4,5,5,4,1,2,2,2,2
p6,4,4,4,4,5,4,4,2,1,3,3,3
p7,4,4,4,5,5,4,3,2,2,3,3,3
p8,3,4,3,4,4,4,4,1,2,3,3,3
p9,3,3,4,4,4,4,4,1,1,2,3,2
p10,3,4,3,4,5,4,4,2,2,2,2,1
p11,4,2,4,4,4,5,3,1,3,1,2,2
p12,2,4,3,4,5,5,4,2,2,3,2,2
p13,4,4,4,5,5,5,4,2,1,2,3,2
p14,4,4,4,4,4,5,4,1,2,3,3,3
p15,4,4,3,4,5,4,3,1,2,3,3,3
p16,4,4,4,5,4,4,4,2,1,3,3,3
p17,3,4,3,4,5,5,4,1,2,2,3,3
p18,3,4,4,4,4,5,3,2,2,2,2,2
p19,3,4,3,4,5,5,4,2,1,2,2,1
p20,4,4,4,4,4,5,4,1,2,3,2,2
p21,2,3,3,4,5,4,4,1,3,3,3,3
p22,3,4,4,4,5,4,4,2,2,2,3,3
p23,4,2,3,4,5,5,4,1,1,1,2,1
p24,2,4,3,5,5,4,3,2,2,2,3,2
p25,4,4,4,4,4,5,4,1,2,3,2,2
p26,4,4,4,4,4,5,4,2,3,2,2,3
p27,4,4,4,5,5,5,4,2,2,3,2,3
p28,4,4,4,4,4,4,3,1,1,3,3,3
p29,3,4,3,4,5,4,4,1,2,3,3,3
p30,3,4,4,5,5,5,4,2,2,1,1,2
,3.363636364,3.7,3.566666667,4.233333333,4.666666667,4.6,3.833333333,1.5,1.933333333,2.4,2.433333333,2.333333333
